rank,name,value
496,Derek Wilkinson,396
497,Christopher Gibson,391
497,Aleksei Kolosov,391
499,Scott Bailey,390
500,Harri Säteri,383
501,Terry Richardson,382
502,Joel Blomqvist,376
503,Mike O'Neill,372
504,Gord Laxton,361
505,Cam Newton,359
506,Gary Kurt,357
507,Rocky Farr,355
507,Jim McLeod,355
509,Dieter Kochan,350
510,Al Rollins,349
511,Leland Irving,331
512,Jack McCartan,326
513,Rick Knickle,319
514,Mike Moffat,317
515,Maxime Ouellet,316
516,Frédéric Cassivi,315
516,Jaxson Stauber,315
518,Lyle Carter,311
519,Dave Reece,307
520,Brian Ford,306
521,Hannu Kamppuri,295
522,Marc D'Amour,291
523,Jean-François Labbé,287
524,Sergei Mylnikov,282
525,Jiří Patera,273
526,Ken Ellacott,268
527,Josef Kořenář,264
528,Jeremy Smith,254
529,Ed Chadwick,247
530,Andy Chiodo,232
531,Norm Foster,231
532,Gerry Gray,228
533,Adam Berkhoel,225
533,Magnus Chrona,225
533,Patrick DesRochers,225
533,Nathan Lawson,225
537,Georgi Romanov,221
538,Tobias Stephan,219
539,Matt DelGuidice,218
540,Barry Brust,215
541,Cleon Daskalakis,214
542,Mike Fountain,206
543,Michael Houser,200
544,Rob Zepp,198
545,Matiss Kivlenieks,187
546,Allen York,183
547,Nathan Lieuwen,173
548,Carl Lindbom,165
548,Mike Sands,165
548,Matt Tomkins,165
551,Darrell May,162
552,Michel Dumas,158
552,Vitali Kolesnik,158
554,Bruce Hoffort,157
555,Martin Brochu,156
556,Mike Torchia,154
557,Danny Lorenz,149
558,Justin Pogge,146
559,John Curry,145
559,Gerry McNamara,145
559,Cristopher Nilstorp,145
562,Oscar Dansk,144
563,Mark Holden,142
564,Hunter Shepard,139
565,Jean-Marc Pelletier,138
566,Cédrick Desjardins,137
567,Zachary Sawchenko,136
568,Zane McIntyre,133
568,Carl Wetzel,133
570,Kevin Boyle,129
571,Matthew Yeats,128
572,Nolan Schaefer,127
573,Don Cutts,126
573,Troy Grosenick,126
573,Clay Stevenson,126
576,Ján Lašák,125
576,Trent Miner,125
578,Matt Climie,124
579,David Goverde,122
580,Andre Gill,121
581,Mike Brodeur,119
581,Geoff Sarjeant,119
583,Les Kuntar,114
584,Peter Mannino,112
585,Kevin Mandolese,109
586,Bob Sneddon,106
587,Sergei Murashov,105
588,Steve Janaszak,104
589,Jean-François Damphousse,103
590,Tom Askey,101
590,Hunter Miska,101
592,Drew Commesso,100
592,Daniel Taylor,100
594,Brad Thiessen,97
595,Terry Kleisinger,95
595,Marc Lamothe,95
595,Robbie Moore,95
598,Derek Gustafson,94
599,Jari Kaarela,93
600,Dylan Garand,91
601,Eddie Pasquale,90
602,Mike Lenarduzzi,89
602,Bruce Racine,89
602,Rastislav Staňa,89
605,Antoine Bibeau,88
605,Vitali Yeremeyev,88
605,Mike Zanier,88
608,Philippe DeRouville,84
609,Drew MacIntyre,83
609,Ted Tucker,83
611,Bob Parent,82
612,Dan LaCosta,81
613,Ken Holland,80
614,Dylan Ferguson,79
614,George Maneluk,79
616,Niklas Kokko,77
616,Matt Murray,77
618,Jussi Rynnäs,76
619,Brian Finley,74
620,Gilles Boisvert,73
621,Michael Wall,71
622,Artur Akhtyamov,70
622,Kristers Gudlevskis,70
622,Alexei Melnichuk,70
625,Karl Friesen,64
626,Tyrone Garner,62
627,Zachary Fucale,61
628,Dave McLelland,60
629,Kenneth Appleby,58
629,Ryan Bach,58
631,David Littman,54
631,Thomas Milic,54
631,Josh Tordjman,54
634,Shawn MacKenzie,53
634,Adam Werner,53
636,Matt Villalta,52
637,Michel Larocque,50
638,Claude Legris,48
638,Richard Shulmistra,48
640,Chad Erickson,46
640,Don Sylvestri,46
642,Victor Ostman,45
643,Joe Schaefer,44
643,Mackenzie Skapski,44
645,Paul Skidmore,43
646,Brandon Halverson,41
646,Ron Loustel,41
648,Patrick Labrecque,40
649,Michael DiPietro,39
649,Bruce Dowie,39
651,Sami Aittokallio,38
651,Marek Schwarz,38
653,Gilles Senn,37
654,Yutaka Fukufuji,36
654,Scott Sharples,36
656,Kasimir Kaskisuo,35
657,Olle Eriksson Ek,34
657,Alexander Salák,34
657,Jakub Skarek,34
660,Cal Heeter,33
660,Andrey Makarov,33
660,Mike Minard,33
660,Dave Tataryn,33
664,Wayne Cowley,32
664,Adam Huska,32
664,Jack LaFontaine,32
667,Bob Dupuis,31
667,Neil Little,31
667,Matt O'Connor,31
670,Jean-Louis Levasseur,29
670,Eetu Mäkiniemi,29
670,Thomas McCollum,29
670,Ted Ouimet,29
670,Matt Underhill,29
670,Mark Visentin,29
676,Connor Knapp,28
676,Erik Portillo,28
678,Marcel Pelletier,27
678,Arsenii Sergeev,27
680,Harrison Gray,26
680,Jason Kasdorf,26
680,Paul Pageau,26
680,Pat Rupp,26
684,Joacim Eriksson,25
684,Randy Exelby,25
684,Olivier Rodrigue,25
687,Pauli Jaks,23
688,Johan Backlund,22
688,Mark Dekanich,22
688,Dave Gagnon,22
688,Alfie Michaud,22
688,Gregg Naumenko,22
693,Paul Hoganson,21
693,Ray LeBlanc,21
695,Rob Dopson,20
695,Ales Stezka,20
697,Don Caley,19
697,Paxton Schafer,19
699,Landon Bow,18
699,Adam Hauser,18
699,Randy Ireland,18
699,Rick LaFerriere,18
699,Alain Raymond,18
704,Marek Langhamer,17
704,Dan Olesevich,17
704,Bob Ring,17
707,Brian Eklund,16
707,Dimitri Patzold,16
709,Gerald Coleman,15
709,Niklas Treutle,15
711,Olivier Michaud,14
711,Adam Wilcox,14
711,Matt Zaba,14
714,Ken Brown,13
714,Mike Greenlay,13
714,Scott King,13
