rank,name,value
343,Bob Pulford,643
345,Mike Cammalleri,642
346,Ron Ellis,640
347,Ralph Backstrom,639
347,Tony McKegney,639
347,James Patrick,639
350,Roman Hamrlík,638
351,Teppo Numminen,637
351,Alex Pietrangelo,637
353,Anton Šťastný,636
353,Brian Sutter,636
355,Mats Näslund,634
356,Chris Kreider,632
357,John Anderson,631
357,Sean Monahan,631
357,Vincent Trocheck,631
360,Robert Reichel,630
360,Esa Tikkanen,630
362,Brent Ashton,629
363,Ed Westfall,625
364,Tyler Toffoli,624
365,Elmer Lach,623
365,Radim Vrbata,623
367,Guy Lapointe,622
367,Brian Mullen,622
367,Alexander Steen,622
370,Ron Duguay,620
370,Patrick Sharp,620
372,Chris Kunitz,619
372,Keith Primeau,619
372,Keith Yandle,619
375,Bo Horvat,618
375,David Legwand,618
377,Adam Graves,616
377,Fred Stanfield,616
379,Chris Drury,615
380,Kyle Okposo,614
381,Loui Eriksson,613
382,Nick Foligno,612
382,Derek King,612
382,Martin Ručinský,612
385,Ron Greschner,610
386,Tomáš Plekanec,608
387,Tomáš Hertl,607
387,Dickie Moore,607
387,Peter Zezel,607
390,Syl Apps,606
390,Mikael Backlund,606
390,Gabriel Landeskog,606
390,Walt McKechnie,606
390,Terry O'Reilly,606
395,Dan Boyle,605
395,Mike Ricci,605
397,Bert Olmstead,602
398,Simon Gagné,601
398,Brendan Morrison,601
400,Garry Galley,600
401,Michal Pivoňka,599
402,Stu Barnes,597
403,Clayton Keller,596
403,Dmitri Khristich,596
405,Alex DeBrincat,595
405,Brian Gionta,595
407,Martin Havlát,594
407,J.P. Parisé,594
409,Thomas Gradin,593
410,Nikolaj Ehlers,591
410,Al MacAdam,591
410,Dainius Zubrus,591
413,Radek Dvořák,590
414,Mike Fisher,589
414,Don Marshall,589
414,Claude Provost,589
414,Shea Weber,589
418,Patrik Sundström,588
419,Carol Vadnais,587
420,Milan Lucic,586
420,Steve Vickers,586
422,Keith Acton,584
422,Jeff Brown,584
422,Troy Murray,584
422,Mario Tremblay,584
426,Bob Bourne,582
426,Don McKenney,582
428,Tom Fergus,581
428,Fredrik Olausson,581
430,Josh Bailey,580
431,Sean Couturier,579
431,Shawn McEachern,579
431,Reilly Smith,579
434,Ryan Johansen,578
435,Laurie Boschman,577
435,Mark Giordano,577
435,Bob MacMillan,577
438,Guy Chouinard,575
438,Éric Desjardins,575
438,Evgeny Kuznetsov,575
438,Brenden Morrow,575
438,Milt Schmidt,575
443,Jonathan Marchessault,574
443,Eric Nesterenko,574
445,Ryan Kesler,573
445,Petr Klíma,573
445,Jim Pappin,573
448,Dick Duff,572
448,Aleš Hemský,572
448,Adam Henrique,572
448,Joé Juneau,572
448,Alex Killorn,572
448,Andrei Markov,572
454,Sergei Samsonov,571
454,Kimmo Timonen,571
456,Mike Krushelnyski,569
456,Bobby Ryan,569
458,Dave Ellett,568
458,Bill Gadsby,568
458,Chris Gratton,568
461,Rickard Rakell,567
462,Marcus Johansson,566
462,Ross Lonsberry,566
464,Wendel Clark,564
464,Don Maloney,564
464,Sandis Ozoliņš,564
464,Rob Ramage,564
468,Jussi Jokinen,563
468,Tomáš Kaberle,563
470,David Backes,561
470,Jimmy Carson,561
472,Ted Kennedy,560
472,Tony Tanti,560
474,James Neal,559
474,Paul Reinhart,559
476,Billy Harris,558
477,Bobby Schmautz,557
478,Mike Murphy,556
479,Pete Stemkowski,555
480,Bengt-Åke Gustafsson,554
481,Don Luce,553
481,Jaden Schwartz,553
483,Teuvo Teräväinen,552
483,Travis Zajac,552
485,John Cullen,550
485,Andrew Ladd,550
487,Bill Cowley,549
487,Anders Lee,549
487,Morgan Rielly,549
490,Mike Knuble,548
490,Mike Sillinger,548
492,Derick Brassard,545
492,Martin Erat,545
492,Kyle Palmieri,545
495,Max Bentley,544
495,Travis Konecny,544
497,Doug Bentley,543
497,Charlie Coyle,543
497,Benoît Hogue,543
497,Patric Hörnqvist,543
497,Gustav Nyquist,543
502,Craig Conroy,542
502,Gary Dornhoefer,542
504,Bill Goldsworthy,541
504,Mark Napier,541
506,Dougie Hamilton,540
506,Doug Harvey,540
506,Bill Mosienko,540
509,Oliver Ekman-Larsson,539
510,Brandon Saad,538
511,Viktor Kozlov,537
511,Glen Wesley,537
513,Danny Grant,536
513,Tim Young,536
