rank,name,value
435,Fern Rivard,9
444,Jim Corsi,8
444,Doug Dadswell,8
444,Ed Dyck,8
444,Colten Ellis,8
444,Jon Gillies,8
444,Magnus Hellberg,8
444,Dennis Hildeby,8
444,Maxime Lagace,8
444,Marek Mazanec,8
444,Ivan Prosvetov,8
444,Daryl Reaugh,8
444,Ron Scott,8
444,Niklas Svedberg,8
457,Jason Bacashihua,7
457,Rollie Boutin,7
457,Norm Foster,7
457,Rick Knickle,7
457,Mike McKenna,7
457,Mike Moffat,7
457,Bill Oleschuk,7
457,Rich Parent,7
457,Dave Reece,7
457,Nick Ricci,7
457,Dennis Riggin,7
457,Jaxson Stauber,7
457,Sam St. Laurent,7
457,Nikita Tolopilo,7
471,Scott Bailey,6
471,Sebastien Charpentier,6
471,Reinhard Divis,6
471,Ivan Fedotov,6
471,Larry Lozinski,6
471,Jim McLeod,6
471,Tyler Moss,6
471,Harri Sateri,6
479,Garry Bauman,5
479,Jared Coreau,5
479,Goran Hogosta,5
479,Henrik Karlsson,5
479,Aleksei Kolosov,5
479,David LeNeveu,5
479,Nolan Schaefer,5
479,Chris Worthy,5
479,Rob Zepp,5
488,Joel Blomqvist,4
488,Lyle Carter,4
488,Frederic Chabot,4
488,Marcel Cousineau,4
488,Oscar Dansk,4
488,Scott Fankhouser,4
488,Joaquin Gage,4
488,Christopher Gibson,4
488,Matt Hackett,4
488,Bruce Hoffort,4
488,Michael Houser,4
488,Gord Laxton,4
488,Darrin Madeley,4
488,Adam Munro,4
488,Jarmo Myllys,4
488,Cam Newton,4
488,Felix Sandstrom,4
505,Mike Brodeur,3
505,Bruce Bullock,3
505,Frederic Cassivi,3
505,Andy Chiodo,3
505,John Curry,3
505,Cleon Daskalakis,3
505,Brian Ford,3
505,Andre Gill,3
505,Jeff Glass,3
505,Leland Irving,3
505,Vitali Kolesnik,3
505,Josef Korenar,3
505,Jean-Francois Labbe,3
505,Scott Langkow,3
505,Don McLeod,3
505,Lindsay Middlebrook,3
505,Robbie Moore,3
505,Jiri Patera,3
505,Bob Perreault,3
505,Terry Richardson,3
505,Al Rollins,3
505,Clay Stevenson,3
505,Brad Thiessen,3
505,Matt Tomkins,3
505,Mike Torchia,3
505,Derek Wilkinson,3
505,Allen York,3
532,Mike Bales,2
532,Adam Berkhoel,2
532,Antoine Bibeau,2
532,Barry Brust,2
532,Bob Champoux,2
532,Matt Climie,2
532,Drew Commesso,2
532,Marc D Amour,2
532,Matt DelGuidice,2
532,Cedrick Desjardins,2
532,Patrick DesRochers,2
532,Michel Dumas,2
532,Ken Ellacott,2
532,Rocky Farr,2
532,Mike Fountain,2
532,Dylan Garand,2
532,Scott Gordon,2
532,Troy Grosenick,2
532,Mark Holden,2
532,Jari Kaarela,2
532,Matiss Kivlenieks,2
532,Les Kuntar,2
532,Dan LaCosta,2
532,Marc Lamothe,2
532,Carl Lindbom,2
532,Jack McCartan,2
532,Gerry McNamara,2
