rank,name,value
877,Dyson Daniels,171
877,Johnny Juzang,171
877,Aleksej Pokusevski,171
880,Don Buse,169
881,Cody Martin,168
881,Kelly Tripucka,168
883,Gary Payton II,167
883,Salim Stoudamire,167
885,Dalton Knecht,166
885,Quinten Post,166
887,Donte Greene,165
887,Bob Hansen,165
887,Cam Spencer,165
887,Lance Thomas,165
891,Travis Diener,164
891,Vince Williams Jr.,164
893,John Lucas III,163
894,Royal Ivey,162
894,Fat Lever,162
894,Alexey Shved,162
897,Darrell Arthur,161
897,Marquese Chriss,161
897,Chris Quinn,161
900,Jaime Jaquez Jr.,160
900,Kevin Johnson,160
900,Cam Whitmore,160
903,Justin Anderson,159
903,Dalano Banton,159
903,Chris Carr,159
906,Matt Harpring,158
906,Malik Sealy,158
908,Walter Davis,157
908,Brian Taylor,157
910,Emanual Davis,156
910,Juan Carlos Navarro,156
910,Jamal Shead,156
913,Alex Sarr,155
913,Antoine Wright,155
915,Shareef Abdur-Rahim,154
915,Chris Copeland,154
915,Sherman Douglas,154
915,Jusuf Nurkic,154
919,Tyrese Martin,153
919,Jaylon Tyson,153
919,Yuta Watanabe,153
922,Lloyd Daniels,152
922,Henry James,152
924,Justin Champagnie,151
924,Kyle Filipowski,151
926,Mike Bratz,150
926,Bryce Drew,150
926,Jared McCain,150
929,Marvin Bagley III,149
929,VJ Edgecombe,149
929,Brooks Thompson,149
932,Precious Achiuwa,148
932,Richard Anderson,148
932,Dion Glover,148
932,Luke Kornet,148
936,Keita Bates-Diop,146
936,George Lynch,146
938,Armoni Brooks,145
938,Kevin Grevey,145
938,Jock Landale,145
938,Duop Reath,145
938,Jonathon Simmons,145
943,John Crotty,144
944,Mike Dunleavy,142
944,Trevor Ruffin,142
944,Alperen Sengun,142
944,Jeremy Sochan,142
948,Allen Leavell,141
948,Jared Sullinger,141
950,Jamison Battle,140
950,Willie Burton,140
952,Gary Clark,139
953,Ryan Dunn,138
953,Elliot Perry,138
953,Andrew Toney,138
956,Carlos Arroyo,137
956,Ace Bailey,137
956,Facundo Campazzo,137
956,Ledell Eackles,137
956,Jordan Hamilton,137
961,Justin Edwards,136
961,Keith Jennings,136
961,Arvydas Sabonis,136
964,Isaiah Livers,135
964,David Roddy,135
966,Ousmane Dieng,133
966,R.J. Hampton,133
968,Tim Frazier,131
968,Jake Layman,131
970,Sarunas Jasikevicius,130
970,Thon Maker,130
970,Ricky Sobers,130
970,Morlon Wiley,130
974,Rodrigue Beaubois,129
975,Kendall Marshall,128
975,Scotty Pippen Jr.,128
977,Dwayne Bacon,127
977,T.J. Ford,127
977,Sarunas Marciulionis,127
